Entry Time,Exit Time,Direction,Entry Price,SL Price,TP1 Price,TP2 Price,TP3 Price,Exit Price,R:R Planned,R:R Achieved,Confluences,Session,Confluence Score,P&L ($),P&L (%),Running Equity,HTF Bias,Entry Type,Size (oz),TP1 Hit,TP2 Hit,TP3 Hit,SL Hit
2025-09-02 07:50:00,2025-09-02 07:55:00,long,3487.73,3482.65,3497.88,3502.96,3502.96,3482.65,3.0,-1.1,silver_bullet; htf_bias_aligned; liquidity_sweep; fib_79; fvg,London,5,-2.4,-0.48,497.6,bullish,FVG,0.43,False,False,False,True
2025-09-12 07:40:00,2025-09-12 09:05:00,short,3648.41,3651.52,3642.21,3639.11,3639.11,3639.11,3.0,2.34,silver_bullet; htf_bias_aligned; pdh_pdl_sweep; bos; smt; eq,London,6,2.97,0.595,500.57,bearish,EQ,0.41,True,True,False,False
2025-09-12 12:30:00,2025-09-12 13:05:00,short,3644.34,3648.05,3636.9,3633.18,3633.18,3648.15,3.0,-1.16,htf_bias_aligned; liquidity_sweep; bos; smt; fvg,NY_AM,5,-1.77,-0.354,498.81,bearish,FVG,0.41,False,False,False,True
2025-09-12 17:30:00,2025-09-12 17:35:00,short,3645.54,3648.54,3639.54,3636.54,3636.54,3648.58,3.0,-1.18,htf_bias_aligned; liquidity_sweep; smt; fvg,NY_PM,4,-1.45,-0.29,497.35,bearish,FVG,0.41,False,False,False,True
2025-09-15 06:15:00,2025-09-15 07:40:00,short,3642.28,3645.28,3636.28,3633.28,3633.28,3642.38,3.0,0.82,htf_bias_aligned; liquidity_sweep; bos; smt; eq,London,5,1.01,0.201,498.36,bearish,EQ,0.41,True,False,False,True
2025-09-15 07:40:00,2025-09-15 07:45:00,short,3637.4,3640.83,3630.54,3627.11,3627.11,3640.87,3.0,-1.16,silver_bullet; htf_bias_aligned; liquidity_sweep; bos; smt; fib_79; fvg,London,7,-1.63,-0.325,496.73,bearish,FVG,0.41,False,False,False,True
2025-09-18 06:20:00,2025-09-18 06:25:00,long,3656.1,3650.4,3667.48,3673.17,3673.17,3650.37,3.0,-1.09,htf_bias_aligned; liquidity_sweep; smt; fvg,London,4,-2.49,-0.498,494.24,bullish,FVG,0.4,False,False,False,True
2025-09-18 07:15:00,2025-09-18 08:40:00,long,3643.05,3636.84,3655.47,3661.68,3661.68,3661.68,3.0,2.42,silver_bullet; htf_bias_aligned; liquidity_sweep; smt; fvg,London,5,5.56,1.112,499.8,bullish,FVG,0.37,True,True,False,False
2025-09-18 13:00:00,2025-09-18 13:05:00,long,3669.78,3664.62,3680.1,3685.26,3685.26,3664.52,3.0,-1.12,htf_bias_aligned; liquidity_sweep; bos; smt; fvg,NY_AM,5,-2.36,-0.472,497.44,bullish,FVG,0.41,False,False,False,True
2025-09-19 13:10:00,2025-09-19 14:50:00,long,3652.78,3647.84,3662.67,3667.61,3667.61,3667.61,3.0,2.4,htf_bias_aligned; liquidity_sweep; bos; smt; fib_79; eq,NY_AM,6,4.86,0.972,502.3,bullish,EQ,0.41,True,True,False,False
